,label,F1,F2,F3
115,ham,0,19,2
116,ham,0,3,1
117,ham,0,16,2
118,ham,0,4,1
119,ham,0,5,1
120,spam,0,26,2
121,ham,0,7,1
122,ham,0,3,1
123,ham,0,17,1
124,spam,0,14,1
125,ham,0,6,1
126,ham,0,6,1
127,ham,0,5,1
128,ham,0,6,1
129,spam,1,19,1
130,ham,0,27,2
131,ham,0,1,1
132,ham,0,9,1
133,ham,0,6,1
134,ham,0,2,1
135,ham,0,7,1
136,ham,0,1,1
137,ham,0,6,1
138,ham,0,3,1
139,ham,0,4,1
140,spam,0,22,2
141,ham,0,4,1
142,ham,0,6,1
143,ham,0,7,1
144,ham,0,1,1
145,ham,0,5,1
146,ham,0,4,1
147,ham,0,6,1
148,ham,0,13,2
149,ham,0,4,1
150,ham,0,1,1
151,ham,0,16,1
152,ham,0,7,1
153,ham,0,20,2
154,ham,0,5,1
155,ham,0,4,1
156,ham,0,19,1
157,ham,0,7,1
158,ham,0,17,2
159,ham,0,8,1
160,spam,1,18,2
161,spam,0,18,1
162,ham,0,13,2
163,ham,0,4,2
164,ham,0,20,2
165,ham,0,5,1
166,ham,0,3,1
167,ham,0,8,1
168,ham,0,24,2
169,ham,0,17,1
170,ham,0,1,1
171,ham,0,4,1
172,ham,0,11,1
173,ham,0,4,1
174,ham,0,8,2
175,spam,0,16,1
176,ham,0,4,1
177,ham,0,4,1
178,ham,0,5,1
179,ham,0,15,1
180,ham,0,3,1
181,ham,0,2,1
182,ham,0,14,2
183,ham,0,4,1
184,ham,0,7,1
185,ham,0,7,1
186,ham,0,18,2
187,spam,1,19,1
188,spam,0,16,2
189,ham,0,19,2
190,ham,0,3,1
191,ham,0,6,1
192,spam,0,18,1
193,spam,1,11,2
194,ham,0,3,1
195,ham,0,4,1
196,ham,0,6,1
197,ham,0,15,1
198,ham,0,16,1
199,ham,0,30,3
200,ham,0,7,1
201,ham,0,6,1
202,ham,0,5,1
203,ham,0,5,1
204,ham,0,11,2
205,ham,0,5,1
206,ham,0,22,2
207,ham,0,18,1
208,ham,0,13,2
209,ham,0,3,1
210,ham,0,22,1
211,ham,0,7,1
212,ham,0,3,1
213,ham,0,18,3
214,ham,0,6,1
215,ham,0,3,1
216,ham,0,4,1
217,spam,0,26,2
218,ham,0,28,2
219,ham,0,4,1
220,ham,0,10,1
221,ham,0,22,2
222,ham,0,15,3
223,ham,0,10,1
224,ham,0,3,1
225,ham,0,11,1
226,ham,0,8,1
227,ham,0,7,1
228,ham,0,4,1
229,ham,0,5,1
230,ham,0,9,1
231,ham,0,16,3
232,ham,0,15,1
233,ham,0,10,1
234,ham,0,7,1
235,ham,0,6,1
236,ham,0,3,1
237,ham,0,19,2
238,ham,0,3,1
239,ham,0,4,1
240,spam,0,21,1
241,ham,0,4,1
242,ham,0,34,3
243,spam,0,27,2
244,ham,0,16,1
245,ham,0,9,1
246,ham,0,4,1
247,ham,0,6,1
248,ham,0,9,1
249,ham,0,4,1
250,ham,0,7,1
251,ham,0,3,1
252,ham,0,7,1
253,ham,0,6,1
254,ham,0,6,1
255,ham,0,5,1
256,ham,0,3,1
257,ham,0,2,1
258,ham,0,2,1
259,ham,0,4,1
260,ham,0,21,1
261,ham,0,6,2
262,ham,0,3,1
263,ham,0,2,1
264,spam,1,6,1
265,ham,0,21,2
266,ham,0,5,1
267,ham,0,3,1
268,ham,0,5,1
269,spam,0,14,1
270,ham,0,2,1
271,ham,0,17,1
272,ham,0,7,1
273,ham,0,7,1
274,ham,0,12,2
275,spam,1,11,1
276,ham,0,16,2
277,ham,0,8,2
278,ham,0,14,2
279,ham,0,14,1
280,ham,0,13,1
281,ham,0,24,2
282,ham,0,6,1
283,ham,0,12,1
284,ham,0,18,1
285,ham,0,16,4
286,ham,0,2,1
287,ham,0,4,1
288,ham,0,5,1
289,ham,0,23,2
290,ham,0,5,1
291,ham,0,15,1
292,ham,0,17,1
293,ham,0,5,1
294,ham,0,14,1
295,spam,0,6,1
296,ham,0,7,2
297,ham,0,7,1
298,spam,0,12,2
299,ham,0,6,1
300,ham,0,5,1
301,spam,0,17,2
302,ham,0,10,1
303,ham,0,9,1
304,ham,0,15,2
305,ham,0,7,1
306,spam,1,16,2
307,ham,0,5,1
308,spam,0,9,1
309,ham,0,7,1
310,ham,0,3,1
311,ham,0,3,1
312,ham,0,6,1
313,spam,0,15,1
314,ham,0,9,1
315,spam,0,17,1
316,ham,0,2,1
317,ham,0,5,1
318,ham,0,22,3
319,ham,0,9,2
320,ham,0,11,2
321,ham,0,8,2
322,ham,0,9,2
323,spam,0,20,2
324,ham,0,5,1
325,spam,1,17,2
326,ham,0,2,1
327,ham,0,16,2
328,ham,0,6,1
329,ham,0,11,2
330,ham,0,6,1
331,spam,0,15,1
332,ham,0,3,1
333,spam,0,11,1
334,ham,0,8,1
335,ham,0,6,1
336,ham,0,5,1
337,ham,0,6,1
338,ham,0,3,1
339,ham,0,8,2
340,spam,0,15,2
341,ham,0,15,1
342,ham,0,5,1
343,ham,0,9,1
344,ham,0,13,2
345,ham,0,4,1
346,ham,0,5,1
347,ham,0,3,1
348,ham,0,24,3
349,ham,0,17,1
350,ham,0,8,1
351,ham,0,7,1
352,ham,0,5,2
353,ham,0,7,1
354,ham,0,6,1
355,ham,0,5,1
356,ham,0,10,1
357,ham,0,9,1
358,ham,0,4,1
359,ham,0,9,1
360,ham,0,17,2
361,spam,0,4,1
362,ham,0,6,2
363,ham,0,4,1
364,spam,0,17,1
365,ham,0,12,1
366,spam,0,14,2
367,ham,0,3,1
368,ham,0,3,1
369,ham,0,3,1
370,ham,0,8,1
371,ham,0,23,3
372,ham,0,7,1
373,spam,0,12,2
374,ham,0,11,1
375,ham,0,2,1
376,ham,0,4,1
377,ham,0,7,2
378,ham,0,19,1
379,ham,0,4,1
380,spam,0,16,1
381,ham,0,6,1
382,spam,0,10,1
383,spam,0,5,1
384,ham,0,13,3
385,ham,0,3,1
386,ham,0,10,1
387,spam,0,13,1
388,ham,0,24,3
389,spam,0,18,1
390,ham,0,4,1
391,ham,0,16,1
392,ham,0,7,1
393,ham,0,2,1
394,ham,0,3,1
395,ham,0,15,2
396,ham,0,15,2
397,ham,0,21,1
398,ham,0,9,1
399,ham,0,1,1
400,ham,0,8,1
401,ham,0,10,1
402,spam,0,15,1
403,spam,0,23,1
404,ham,0,7,1
405,ham,0,10,1
406,ham,0,5,1
407,ham,0,8,1
408,spam,0,22,2
409,ham,0,9,2
410,ham,0,3,1
411,ham,0,4,1
412,ham,0,6,1
413,ham,0,4,1
414,ham,0,11,2
415,spam,1,19,1
416,spam,0,17,2
417,ham,0,11,1
418,ham,0,1,1
419,ham,0,15,1
420,ham,0,3,1
421,spam,1,17,1
422,ham,0,3,1
423,ham,0,3,1
424,ham,0,8,1
425,spam,0,21,2
426,ham,0,23,1
427,ham,0,3,1
428,ham,0,7,1
429,spam,0,19,1
430,ham,0,40,3
431,ham,0,17,5
432,ham,0,7,1
433,spam,0,22,1
434,ham,0,2,1
435,ham,0,15,1
436,spam,0,24,2
437,ham,0,11,2
438,ham,0,6,1
439,ham,0,19,1
440,spam,0,18,2
441,ham,0,14,1
442,ham,0,2,1
443,ham,0,4,1
444,ham,0,6,1
445,spam,1,19,1
446,ham,0,14,1
447,spam,0,17,1
448,spam,0,16,2
449,ham,0,11,1
450,ham,0,9,1
451,ham,0,13,1
452,ham,0,4,1
453,ham,0,34,3
454,ham,0,3,1
455,ham,0,3,1
456,ham,0,2,1
457,ham,0,5,1
458,ham,0,2,1
459,ham,0,8,1
460,ham,0,16,4
461,ham,0,4,1
462,ham,0,15,1
463,ham,0,6,1
464,ham,0,6,1
465,ham,0,19,2
466,ham,0,4,2
467,ham,0,8,2
468,ham,0,16,2
469,ham,0,11,1
470,ham,0,5,1
471,ham,0,3,1
472,ham,0,7,1
473,ham,0,4,1
474,ham,0,10,1
475,ham,0,6,1
476,ham,0,12,2
477,ham,0,5,1
478,ham,0,3,1
479,spam,0,19,2
480,ham,0,17,1
481,ham,0,4,1
482,spam,0,20,1
483,ham,0,14,2
484,ham,0,13,1
485,spam,0,18,2
486,ham,0,16,2
487,ham,0,3,1
488,ham,0,6,1
489,ham,0,5,1
490,ham,0,15,2
491,ham,0,7,1
492,spam,0,4,1
493,ham,0,19,1
494,ham,0,14,2
495,ham,0,11,2
496,ham,0,12,2
497,ham,0,2,1
498,ham,0,6,2
499,ham,0,21,2
500,ham,0,4,1
501,ham,0,8,1
502,ham,0,17,2
503,ham,0,4,1
504,ham,0,3,1
505,ham,0,7,1
506,ham,0,6,1
507,ham,0,8,1
508,spam,0,19,1
509,ham,0,3,1
510,ham,0,7,1
511,ham,0,10,2
512,ham,0,4,2
513,ham,0,20,3
514,ham,0,3,1
515,ham,0,6,1
516,ham,0,10,2
517,ham,0,8,1
518,ham,0,5,1
519,ham,0,13,1
520,spam,1,25,2
521,ham,0,2,1
522,ham,0,23,1
523,spam,0,16,1
524,ham,0,4,1
525,ham,0,5,1
526,ham,0,5,1
527,ham,0,6,1
528,ham,0,5,1
529,ham,0,17,2
530,ham,0,20,3
531,ham,0,4,1
532,ham,0,3,1
533,ham,0,11,1
534,spam,0,17,2
535,ham,0,13,2
536,ham,0,4,1
537,ham,0,4,1
538,ham,0,9,3
539,ham,0,7,1
540,ham,0,16,1
541,spam,1,15,2
542,ham,0,5,1
543,ham,0,4,1
544,ham,0,4,1
545,ham,0,7,2
546,spam,0,17,1
547,ham,0,3,1
548,ham,0,7,1
549,spam,0,17,1
550,spam,0,12,2
551,ham,0,6,1
552,ham,0,16,3
553,ham,0,5,1
554,ham,0,3,1
555,ham,0,80,4
556,ham,0,26,4
557,ham,0,19,3
558,ham,0,3,1
559,spam,0,19,1
560,ham,0,6,1
561,ham,0,11,1
562,ham,0,6,1
563,ham,0,4,1
564,ham,0,7,1
565,ham,0,7,2
566,ham,0,6,1
567,ham,0,7,2
568,ham,0,13,2
569,ham,0,3,1
570,spam,1,20,2
571,ham,0,4,1
572,ham,0,3,1
573,ham,0,18,2
574,ham,0,12,1
575,spam,0,11,1
576,ham,0,5,1
577,spam,0,18,2
578,ham,0,6,1
579,spam,0,14,1
580,ham,0,6,1
581,ham,0,2,1
582,ham,0,4,1
583,ham,0,12,1
584,ham,0,16,2
585,ham,0,5,1
586,ham,0,2,1
587,spam,0,25,2
588,ham,0,2,1
589,ham,0,7,2
590,ham,0,21,2
591,spam,0,21,2
592,ham,0,6,1
593,ham,0,6,1
594,ham,0,20,2
595,ham,0,9,1
596,ham,0,3,1
597,ham,0,3,1
598,ham,0,4,1
599,ham,0,7,1
600,ham,0,6,1
601,ham,0,6,1
602,ham,0,11,2
603,spam,0,21,2
604,spam,0,6,1
605,ham,0,6,2
606,ham,0,5,1
607,ham,0,2,1
608,ham,0,15,1
609,spam,0,16,1
610,ham,0,3,1
611,ham,0,6,1
612,ham,0,10,1
613,spam,0,6,1
614,ham,0,7,1
615,ham,0,6,1
616,ham,0,13,2
617,spam,0,18,2
618,spam,1,14,1
619,ham,0,7,1
620,ham,0,7,1
621,ham,0,11,1
622,ham,0,7,2
623,ham,0,5,1
624,ham,0,20,1
625,ham,0,6,1
626,ham,0,10,2
627,ham,0,5,1
628,ham,0,6,1
629,ham,0,23,2
630,ham,0,6,1
631,ham,0,12,2
632,ham,0,11,2
633,ham,0,3,1
634,ham,0,5,1
635,ham,0,13,1
636,ham,0,19,1
637,spam,0,14,2
638,ham,0,5,1
639,ham,0,17,1
640,spam,0,19,2
641,ham,0,12,2
642,ham,0,13,1
643,ham,0,1,1
644,ham,0,5,2
645,ham,0,1,1
646,ham,0,6,1
647,ham,0,9,2
648,ham,0,13,1
649,ham,0,4,1
650,ham,0,3,1
651,ham,0,4,1
652,ham,0,20,2
653,ham,0,13,2
654,ham,0,8,1
655,ham,0,7,1
656,ham,0,8,1
657,ham,0,4,1
658,ham,0,5,1
659,ham,0,8,1
660,ham,0,14,2
661,ham,0,23,1
662,ham,0,5,2
663,ham,0,6,1
664,spam,1,25,3
665,ham,0,5,1
666,ham,0,11,2
667,ham,0,13,2
668,ham,0,4,1
669,ham,0,27,3
670,spam,0,18,2
671,ham,0,6,1
672,ham,0,3,1
673,ham,0,5,1
674,ham,0,7,1
675,ham,0,19,2
676,ham,0,17,2
677,ham,0,11,2
678,ham,0,6,1
679,ham,0,8,1
680,ham,0,11,1
681,ham,0,3,1
682,ham,0,7,1
683,ham,0,4,1
684,ham,0,5,1
685,ham,0,9,2
686,ham,0,16,1
687,ham,0,10,2
688,ham,0,23,2
689,spam,0,17,1
690,ham,0,15,1
691,ham,0,5,1
692,ham,0,4,1
693,ham,0,20,2
694,ham,0,4,1
695,ham,0,6,1
696,spam,0,17,2
697,spam,0,24,2
698,ham,0,41,4
699,ham,0,13,1
700,ham,0,6,1
701,ham,0,7,1
702,ham,0,13,2
703,ham,0,2,1
704,ham,0,6,1
705,ham,0,9,1
706,ham,0,8,2
707,ham,0,18,1
708,ham,0,17,2
709,ham,0,5,1
710,ham,0,6,1
711,ham,0,1,1
712,ham,0,27,2
713,ham,0,6,2
714,ham,0,5,1
715,ham,0,7,1
716,spam,1,21,1
717,ham,0,5,1
718,ham,0,3,1
719,ham,0,7,1
720,ham,0,1,1
721,ham,0,16,2
722,spam,0,7,1
723,ham,0,14,2
724,ham,0,12,1
725,ham,0,6,1
726,ham,0,3,1
727,ham,0,14,2
728,ham,0,5,1
729,ham,0,9,1
730,spam,1,23,2
731,ham,0,11,2
732,spam,0,18,1
733,ham,0,8,1
734,ham,0,4,1
735,ham,0,2,1
736,ham,0,8,1
737,ham,0,14,1
738,spam,0,20,2
739,ham,0,23,2
740,ham,0,8,1
741,spam,0,15,2
742,ham,0,17,3
743,spam,0,18,1
744,ham,0,3,1
745,ham,0,26,6
746,ham,0,5,1
747,ham,0,8,1
748,ham,0,6,1
749,ham,0,14,1
750,ham,0,11,1
751,ham,0,20,2
752,ham,0,3,1
753,ham,0,4,1
754,ham,0,17,3
755,ham,0,12,1
756,ham,0,9,1
757,spam,0,23,2
758,ham,0,4,1
759,ham,0,2,1
760,ham,0,5,1
761,ham,0,5,1
762,ham,0,18,4
763,ham,0,12,1
764,ham,0,4,1
765,ham,0,6,1
766,ham,0,6,1
767,spam,0,17,1
768,ham,0,3,1
769,ham,0,19,2
770,ham,0,3,1
771,ham,0,2,1
772,ham,0,5,2
773,ham,0,14,2
774,ham,0,3,1
775,ham,0,4,1
776,ham,0,4,1
777,ham,0,4,1
778,ham,0,2,1
779,ham,0,5,1
780,ham,0,3,1
781,spam,1,22,2
782,ham,0,5,1
783,ham,0,12,2
784,ham,0,9,1
785,ham,0,7,1
786,ham,0,4,1
787,ham,0,5,1
788,ham,0,3,1
789,ham,0,7,2
790,ham,0,18,2
791,ham,0,9,1
792,ham,0,7,1
793,ham,0,6,1
794,ham,0,5,1
795,ham,0,1,1
796,ham,0,4,1
797,ham,0,20,2
798,ham,0,4,1
799,ham,0,4,1
800,spam,0,20,3
801,ham,0,17,2
802,ham,0,9,1
803,ham,0,6,1
804,ham,0,18,2
805,ham,0,11,1
806,ham,0,4,1
807,ham,0,32,2
808,ham,0,20,2
809,ham,0,3,1
810,ham,0,5,1
811,spam,0,15,1
812,ham,0,5,1
813,ham,0,4,1
814,ham,0,2,1
815,ham,0,12,1
816,ham,0,2,1
817,ham,0,5,1
818,ham,0,1,1
819,spam,1,20,2
820,ham,0,5,1
821,ham,0,7,1
822,ham,0,13,2
823,spam,0,13,1
824,ham,0,5,1
825,ham,0,16,2
826,spam,0,18,1
827,ham,0,5,1
828,ham,0,7,2
829,ham,0,10,2
830,ham,0,15,1
831,ham,0,3,1
832,spam,1,21,3
833,ham,0,5,1
834,ham,0,5,1
835,ham,0,12,2
836,ham,0,4,1
837,ham,0,3,1
838,ham,0,20,4
839,ham,0,2,1
840,ham,0,11,1
841,ham,0,10,2
842,spam,1,16,1
843,ham,0,19,2
844,ham,0,9,1
845,ham,0,7,1
846,ham,0,9,1
847,ham,0,3,1
848,spam,0,9,2
849,ham,0,5,1
850,ham,0,13,2
851,ham,0,13,2
852,ham,0,3,1
853,ham,0,5,1
854,ham,0,4,1
855,ham,0,6,1
856,ham,0,11,1
857,ham,0,13,2
858,ham,0,8,1
859,spam,0,14,2
860,ham,0,1,1
861,ham,0,5,1
862,ham,0,9,2
863,ham,0,14,1
864,ham,0,5,1
865,ham,0,11,1
866,ham,0,11,2
867,ham,0,7,1
868,ham,0,4,1
869,ham,0,7,1
870,spam,0,20,3
871,spam,0,22,2
872,ham,0,5,2
873,ham,0,17,4
874,ham,0,9,1
875,ham,0,5,1
876,ham,0,7,1
877,ham,0,20,2
878,ham,0,13,2
879,ham,0,7,2
880,ham,0,2,1
881,ham,0,6,1
882,ham,0,5,1
883,spam,0,20,2
884,ham,0,22,2
885,ham,0,9,2
886,ham,0,17,3
887,ham,0,4,1
888,ham,0,4,1
889,ham,0,14,1
890,ham,0,9,1
891,ham,0,17,2
892,ham,0,6,1
893,ham,0,10,2
894,spam,0,15,1
895,ham,0,15,2
896,ham,0,4,1
897,ham,0,6,1
898,ham,0,5,1
899,spam,0,25,2
900,ham,0,5,1
901,ham,0,8,3
902,ham,0,14,2
903,ham,0,3,1
904,ham,0,4,1
905,ham,0,7,1
906,ham,0,9,1
907,spam,1,14,1
908,ham,0,3,1
909,ham,0,15,1
910,ham,0,13,2
911,ham,0,4,1
912,ham,0,5,1
913,ham,0,4,1
914,ham,0,5,1
915,ham,0,6,1
916,spam,0,19,1
917,ham,0,5,1
918,ham,0,16,1
919,ham,0,4,1
920,ham,0,2,1
921,ham,0,10,2
922,ham,0,5,1
923,ham,0,4,1
924,ham,0,3,1
925,ham,0,7,1
926,ham,0,9,1
927,ham,0,15,1
928,ham,0,12,3
929,ham,0,5,1
930,ham,0,4,1
931,ham,0,4,1
932,ham,0,8,1
933,ham,0,4,1
934,ham,0,6,1
935,ham,0,2,1
936,ham,0,2,1
937,ham,0,2,1
938,ham,0,4,1
939,ham,0,5,2
940,ham,0,6,1
941,ham,0,10,1
942,ham,0,11,1
943,spam,0,19,2
944,ham,0,9,1
945,ham,0,13,1
946,ham,0,4,1
947,ham,0,4,1
948,ham,0,9,2
949,ham,0,9,2
950,spam,0,9,1
951,spam,0,17,3
952,ham,0,5,1
953,ham,0,11,2
954,ham,0,3,1
955,ham,0,4,1
956,spam,0,20,1
957,ham,0,7,1
958,ham,0,7,1
959,ham,0,11,1
960,ham,0,5,1
961,ham,0,5,1
962,ham,0,7,1
963,ham,0,9,1
964,ham,0,6,1
965,ham,0,9,2
966,ham,0,4,1
967,ham,0,18,3
968,ham,0,6,1
969,ham,0,16,2
970,ham,0,12,1
971,ham,0,11,1
972,ham,0,2,1
973,spam,0,25,3
974,ham,0,5,1
975,ham,0,10,1
976,ham,0,4,1
977,ham,0,26,4
978,ham,0,9,1
979,ham,0,15,2
980,ham,0,4,1
981,spam,0,20,2
982,spam,1,23,2
983,ham,0,4,1
984,ham,0,3,1
985,ham,0,6,1
986,spam,0,20,1
987,ham,0,14,1
988,ham,0,10,1
989,ham,0,8,1
990,ham,0,7,1
991,ham,0,6,1
992,ham,0,9,1
993,ham,0,4,1
994,ham,0,4,1
995,spam,0,9,1
996,ham,0,6,1
997,ham,0,7,1
998,ham,0,7,1
999,spam,0,18,2
1000,ham,0,3,1
1001,ham,0,5,1
1002,ham,0,5,1
1003,ham,0,4,1
1004,ham,0,4,1
1005,ham,0,9,2
1006,ham,0,4,1
1007,ham,0,6,1
1008,ham,0,14,1
1009,ham,0,4,1
1010,ham,0,11,1
1011,ham,0,4,1
1012,ham,0,40,3
1013,ham,0,9,1
1014,ham,0,37,3
1015,ham,0,5,1
1016,ham,0,14,2
1017,ham,0,4,1
1018,ham,0,3,1
1019,ham,0,6,1
1020,ham,0,11,2
1021,ham,0,4,1
1022,ham,0,3,1
1023,ham,0,12,3
1024,ham,0,12,1
1025,ham,0,7,1
1026,ham,0,6,1
1027,ham,0,5,1
1028,ham,0,13,3
1029,ham,0,4,1
1030,ham,0,4,1
1031,spam,0,19,2
1032,ham,0,5,1
1033,ham,0,4,1
1034,ham,0,3,1
1035,spam,0,21,2
1036,ham,0,19,2
1037,ham,0,7,1
1038,ham,0,6,1
1039,ham,0,5,1
1040,ham,0,7,1
1041,ham,0,5,2
1042,ham,0,10,1
1043,ham,0,4,1
1044,spam,1,21,3
1045,spam,0,17,2
1046,ham,0,5,1
1047,ham,0,2,1
1048,ham,0,11,1
1049,spam,0,5,1
1050,ham,0,3,1
1051,ham,0,3,1
1052,ham,0,3,1
1053,ham,0,5,1
1054,ham,0,6,1
1055,ham,0,6,1
1056,ham,0,3,1
1057,ham,0,12,1
1058,spam,1,19,1
1059,ham,0,8,2
1060,ham,0,3,1
1061,ham,0,12,1
1062,ham,0,4,2
1063,ham,0,3,1
1064,spam,0,21,3
1065,ham,0,6,1
1066,ham,0,22,2
1067,spam,0,16,1
1068,ham,0,11,1
1069,spam,1,19,1
1070,ham,0,5,1
1071,ham,0,2,1
1072,ham,0,10,1
1073,ham,0,4,1
1074,ham,0,5,1
1075,ham,0,5,1
1076,spam,1,17,1
1077,ham,0,38,3
1078,ham,0,8,1
1079,ham,0,4,1
1080,ham,0,3,1
1081,ham,0,3,1
1082,ham,0,3,1
1083,ham,0,19,2
1084,ham,0,6,1
1085,ham,0,9,1
1086,ham,0,5,1
1087,ham,0,12,1
1088,ham,0,13,1
1089,spam,0,25,2
1090,ham,0,5,1
1091,ham,0,20,2
1092,ham,0,16,2
1093,ham,0,7,1
1094,ham,0,3,1
1095,ham,0,4,1
1096,ham,0,16,1
1097,ham,0,6,1
1098,ham,0,2,1
1099,ham,0,5,1
1100,ham,0,20,2
1101,ham,0,5,1
1102,spam,0,20,1
1103,ham,0,12,2
1104,ham,0,5,1
1105,ham,0,11,3
1106,ham,0,13,1
1107,ham,0,2,1
1108,ham,0,7,1
1109,ham,0,7,1
1110,ham,0,10,2
1111,ham,0,14,1
1112,spam,0,16,1
1113,ham,0,13,1
1114,ham,0,4,2
1115,ham,0,6,1
1116,ham,0,10,1
1117,ham,0,12,1
1118,ham,0,8,1
1119,ham,0,12,2
1120,ham,0,9,1
1121,ham,0,17,2
1122,spam,0,16,1
1123,ham,0,11,1
1124,ham,0,17,1
1125,ham,0,3,1
1126,ham,0,13,2
1127,ham,0,21,2
1128,ham,0,11,1
1129,ham,0,13,1
1130,ham,0,5,1
1131,ham,0,15,2
1132,ham,0,9,1
1133,ham,0,5,1
1134,spam,0,22,2
1135,ham,0,2,1
1136,spam,0,16,1
1137,ham,0,16,2
1138,ham,0,3,1
1139,ham,0,17,1
1140,ham,0,4,1
1141,ham,0,18,2
1142,spam,0,18,2
1143,ham,0,8,1
1144,spam,0,24,2
1145,ham,0,7,1
1146,ham,0,4,1
1147,ham,0,10,1
1148,ham,0,13,2
1149,ham,0,5,1
1150,ham,0,7,1
1151,ham,0,2,1
1152,ham,0,6,1
1153,ham,0,8,1
1154,ham,0,14,1
1155,ham,0,3,1
1156,spam,0,18,3
1157,ham,0,11,2
1158,ham,0,3,1
1159,ham,0,10,1
1160,spam,0,6,1
1161,spam,0,20,3
1162,ham,0,4,1
1163,spam,0,21,1
1164,ham,0,8,2
1165,ham,0,4,1
1166,ham,0,20,3
1167,ham,0,8,1
1168,spam,1,19,1
1169,spam,0,21,1
1170,spam,0,14,2
1171,spam,0,12,2
1172,ham,0,9,1
1173,ham,0,4,1
1174,ham,0,24,3
1175,ham,0,3,1
1176,ham,0,3,1
1177,ham,0,1,1
1178,ham,0,12,2
1179,ham,0,7,1
1180,ham,0,6,1
1181,ham,0,2,1
1182,ham,0,3,1
1183,ham,0,3,1
1184,ham,0,10,1
1185,ham,0,3,1
1186,ham,0,10,1
1187,ham,0,5,1
1188,ham,0,20,2
1189,ham,0,1,1
1190,ham,0,6,1
1191,ham,0,12,1
1192,ham,0,3,1
1193,ham,0,7,1
1194,ham,0,6,1
1195,ham,0,3,1
1196,ham,0,4,1
1197,spam,0,19,2
1198,ham,0,12,2
1199,ham,0,8,2
1200,ham,0,9,1
1201,ham,0,19,4
1202,ham,0,7,1
1203,ham,0,67,4
1204,spam,0,18,2
1205,ham,0,12,1
1206,spam,0,12,1
1207,ham,0,4,1
1208,ham,0,15,3
1209,spam,0,15,1
1210,ham,0,12,1
1211,ham,0,9,1
1212,ham,0,20,2
1213,ham,0,14,1
1214,ham,0,14,2
1215,ham,0,5,2
1216,ham,0,5,1
1217,ham,0,3,1
1218,ham,0,5,3
1219,ham,0,4,1
1220,spam,0,23,2
1221,ham,0,10,1
1222,ham,0,21,2
1223,ham,0,2,1
1224,ham,0,14,3
1225,ham,0,6,1
1226,spam,0,18,2
1227,ham,0,1,1
1228,ham,0,9,1
1229,ham,0,4,1
1230,ham,0,8,1
1231,spam,1,18,1
1232,ham,0,7,1
1233,ham,0,8,1
1234,spam,0,16,1
1235,ham,0,2,1
1236,ham,0,12,1
1237,ham,0,8,1
1238,ham,0,85,6
1239,ham,0,23,2
1240,ham,0,12,1
1241,ham,0,8,1
1242,ham,0,10,2
1243,ham,0,12,1
1244,ham,0,21,3
1245,ham,0,4,1
1246,ham,0,3,1
1247,ham,0,9,1
